O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
25,99,21,6,1,10,719.1,0,75,0.436,23.18,3.8,11,0
26,72,24,16,7,10,722.5,0,75,0.537,25.81,9.3,111,0
64,94,20,8,6,12,717.2,0,55,0.777,30.06,6.6,121,0
15,172,16,15,3,22,718.1,0,54,0,22.21,10.1,114,0
28,75,8,6,7,11,722.4,0,68,0.856999993,27.62,14,111,0
42,81,26,3,3,13,720.4,0,54,0.822,32.5,10.4,71,0
11,115,8,17,4,8,719.8,0,92,0.12,18.89,4.8,107,0
13,85,20,2,1,5,717.3,0,91,0,16.55,4.6,111,0
20,115,21,14,2,21,717.6,0,56,0,31,17.1,84,0
9,146,22,15,5,0,718.1,0,86,0,20.72,6.7,357,0
11,59,22,4,2,18,717.3,0.15,95,0.071,21.62,8.2,115,0
9,55,33,12,3,2,729.1,0,77,0,8.34,3.1,28,0
3,48,30,17,3,6,718.5,0,91,0.02,21.16,4.2,298,0
37,110,20,3,4,17,721.4,0,39,0.061,23.5,13.1,116,0
42,134,21,6,2,16,719.6,0,45,0.406,29.62,14.9,107,0
7,37,17,12,7,5,719.1,0,90,0.066,23.15,5.2,56,0
27,31,29,19,3,12,721.9,0,83,0.225,22.73,11.9,87,0
24,16,5,2,2,7,726.7,0,80,0.486,8.57,15.5,10,0
16,66,28,12,7,0,721.1,0.04,87,0,24.04,9.1,107,0
6,97,11,6,2,7,719.8,0,89,0.128000006,23.77,4.5,44,0
4,85,18,11,7,4,715.6,0,90,0,14.05,2.6,311,0
9,91,18,2,5,21,715.9,0,56,0.002,31.14,13.9,91,0
20,43,5,2,5,10,732.7,0,69,0.103,3.98,6.2,0,0
34,61,25,4,2,21,714.7,0,34,0,24.71,4.1,139,0
22,74,25,8,4,10,722.4,0,68,0.709,29.25,7.4,69,0
14,66,27,21,5,2,717.8,0,86,0,24,8.9,101,0
14,111,20,5,5,22,716.5,0,65,0,29.31,14.7,99,0
20,203,33,3,4,10,727.8,0,70,0.495,11.94,7.8,114,0
57,34,11,1,1,13,718.8,0,45,0.729,31.28,6.4,71,0
3,184,40,5,6,8,721.6,0.03,83,0.022,15.14,1.6,244,0
56,51,19,2,4,14,715.7,0,24,0.599,34.07,7,28,0
49,95,19,12,7,12,722.7,0,38,0.765,24.2,6.9,93,0
24,72,6,1,6,14,724.5,0,62,0.345,11.67,15.3,2,0
8,81,16,6,6,10,727.8,0,90,0.051,6.33,5.5,348,0
52,66,13,2,6,11,721.2,0,56,0.782,23.68,7.7,101,0
31,51,12,5,2,15,719,0,39,0.686,34.89,11.8,66,0
6,73,38,9,5,8,719.1,0,95,0.114,22.06,5.6,87,0
4,51,33,12,1,1,723,0,94,0,8.1,3.7,93,0
22,41,14,7,3,23,719.9,0,84,0,23.21,13.5,119,0
33,43,8,7,1,16,717.7,0,50,0.535000026,33.94,12.7,116,0
8,69,12,6,6,8,726.8,0,92,0.022,15.59,5.2,46,0
13,39,15,0,1,5,719.1,0,84,0,23.55,5.1,64,0
23,24,14,2,3,2,721.2,0,72,0.302,9.43,6,335,0
8,137,28,19,4,21,716.2,0,87,0.055,24.01,3.3,85,0
9,65,18,28,7,8,720.4,0,96,0.207,20.94,6.3,93,0
8,65,26,0,3,4,719,0,88,0.042,22.84,2.4,48,0
37,63,18,2,4,14,725.1,0,55,0.605,16.39,11.5,115,0
5,120,33,19,2,6,719.2,0,89,0.006,23.22,5,63,0
23,30,8,2,1,23,719,0,70,0,25.64,8.1,72,0
19,143,36,18,3,21,718.7,0,72,0,22.98,14.1,104,0
81,94,30,7,3,13,716.7,0,36,0.697,28.62,4.9,69,0
51,53,15,10,5,15,718.8,0,46,0.305,23.68,12.1,126,0
12,129,28,14,5,21,718.2,0,85,0.003,23.97,7.4,70,0
21,70,26,4,1,0,718.8,0,76,0,25.39,8.9,94,0
17,85,36,6,5,3,721,0,83,0,23.78,4,351,0
23,85,35,6,1,18,718.3,0,63,0.068,29.74,8.8,93,0
18,99,10,5,5,1,720.1,0,85,0.013,15.86,15.5,359,0
7,101,38,20,7,7,719.9,0,96,0.116,20.7,3.7,80,0
24,68,23,5,1,22,719.1,0,75,0.001,25.12,11.4,69,0
61,45,15,8,2,16,711.8,0,27,0.389,29.25,7.3,42,0
45,48,25,7,1,15,717.5,0,40,0.545,33.66,8.6,71,0
3,130,22,9,3,22,714.8,0,92,0.109,17.05,1.1,329,0
58,61,30,10,6,17,717.7,0,27,0.276,33.39,12.7,55,0
12,165,12,11,4,9,718.3,0,54,0.325,18.79,5.3,317,0
35,46,21,14,2,23,719.5,0,84,0,17.38,7.8,103,0
18,30,9,4,6,3,727.9,0,93,0,9.48,5.9,106,0
17,90,27,9,4,4,716.8,0,93,0,17.92,4.7,323,0
22,41,11,15,6,0,725.1,0,59,0,15.4,3.4,9,0
6,61,20,23,6,20,719.6,0,74,0,24.34,5.6,29,0
15,13,7,1,1,5,720,0,87,0.082,21.88,4,44,0
13,88,38,4,5,0,717.6,0,80,0,25.38,9.9,87,0
39,58,9,15,7,10,725.3,0,68,0.639,24.75,7.6,79,0
14,82,8,7,5,10,719.3,0,92,0.317,24.15,6.3,87,0
41,47,8,6,4,21,720.9,0,49,0,19.26,11.1,124,0
41,69,6,18,7,19,714.7,0,53,0,28.71,13.7,102,0
9,114,37,19,7,1,719.5,0,70,0,26.56,4.2,69,0
12,93,30,8,7,22,721.7,0,68,0,27.53,14.1,102,0
37,83,22,1,6,17,717.5,0,55,0.323,32.31,12.4,109,0
7,112,18,12,5,8,724,0,96,0.174,10.68,4,343,0
28,34,13,3,2,18,718.3,0,42,0.001,24.24,8.3,88,0
22,76,22,16,4,13,719.6,0,85,0.269,20.79,4.1,18,0
28,66,20,2,4,12,717.6,0,47,0.681,17.52,6.6,59,0
9,125,20,5,2,1,724.3,0,58,0,13.26,1.4,223,0
38,94,26,34,5,17,714.9,0,66,0.166,26.83,11.4,120,0
5,71,22,35,4,6,716.9,0,94,0,17.73,5.5,331,0
3,85,26,11,4,20,723.9,0,75,0,15.72,3.3,20,0
25,73,10,26,4,10,720.3,0,71,0.412999988,26.59,5.7,104,0
34,57,8,7,5,23,719.6,0,62,0,20.07,7.1,96,0
11,94,21,21,4,23,717.4,0.04,87,0.001,22.36,5.1,98,0
