O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
18,53,32,1,6,5,719,0,93,0,12.38,1.7,281,0
8,74,33,4,5,4,721.7,0,94,0.078,21.75,5.1,77,0
23,27,27,7,2,12,718.5,0,93,0.31,22.75,7.6,105,0
12,38,27,11,3,4,717,0,85,0,24.22,6.9,106,0
21,241,13,21,2,21,716,0,54,0,31.5,13.3,103,0
51,86,10,2,6,13,724.5,0,34,0.748,23.51,6,98,0
6,68,16,1,6,5,719.6,0,81,0,15.66,4.2,311,0
5,59,24,2,2,17,717.3,0.06,94,0.012,21.75,4.9,138,0
9,62,11,24,5,2,722.2,0,71,0.001,14.02,2.5,348,0
17,29,13,18,3,13,723.9,0,94,0.103,7.18,6.2,101,0
26,78,33,14,6,18,718.7,0,73,0.027,24.64,8.7,127,0
12,64,28,20,7,5,719.1,0,96,0.208,20.54,4.2,33,0
22,67,30,1,6,2,719.1,0,78,0,17.28,5.2,79,0
9,22,19,5,4,3,718.3,0,84,0,25.31,6.7,76,0
7,106,33,16,6,18,726,0,84,0.003,11.8,6.4,112,0
10,77,26,15,2,20,716.2,0,46,0,32.59,9.6,108,0
17,69,27,10,2,22,719.1,0,88,0,24.99,15,100,0
15,109,11,21,6,0,720.7,0,84,0,13.38,7.7,104,0
8,122,36,18,3,5,717.6,0,84,0,24.53,5.1,63,0
7,65,38,21,3,6,717.4,0,89,0.01,23.48,5.8,101,0
22,37,23,12,6,5,725.9,0,90,0,16.32,5.5,111,0
83,48,28,2,1,13,710.3,0,34,0.789,34.63,12.1,125,0
57,54,7,12,6,15,719.2,0,46,0.605,26.8,10.6,96,0
30,44,16,32,7,15,718.9,0,78,0.321,21.59,3.9,38,0
48,54,5,5,5,16,718.6,0,47,0.273,23.17,11.3,122,0
10,65,18,0,7,7,722.2,0,87,0.057999998,22.41,7.8,102,0
5,50,37,32,3,21,722,0.11,96,0,14.62,4.8,105,0
32,63,21,13,1,13,718.5,0,76,0.281,22.95,9.6,103,0
18,125,12,1,3,19,717.8,0,59,0,25.72,9,96,0
31,75,20,18,5,10,721.8,0,68,0.658999979,29.19,5.4,54,0
30,83,32,9,5,18,714.4,0,35,0.11,36.58,13.8,114,0
21,51,9,7,4,11,716.9,0,92,0.477,23.63,7.5,113,0
13,113,36,9,2,23,716.7,0,60,0,27.3,11.9,104,0
4,34,13,3,7,4,718.1,0,96,0,6.35,1.5,60,0
37,66,30,3,1,13,720,0,65,0.857,29.15,10.5,88,0
4,34,20,7,6,5,717.2,0,83,0,23.96,4.4,75,0
30,119,20,35,2,10,722.4,0,69,0.613,23.71,5.1,15,0
27,141,9,4,1,11,718.8,0,30,0.62,27.39,3.6,322,0
15,27,16,4,1,3,719.1,0,84,0,23.46,2.8,353,0
26,60,7,7,5,14,720.4,0,59,0.498,30.13,11.1,110,0
30,20,8,1,6,5,723.4,0.02,95,0.009,8.18,9.6,94,0
48,50,25,3,1,11,718.1,0,61,0.831,30.77,5.8,82,0
81,79,32,4,6,14,718.4,0,29,0.787,33.43,9.3,47,0
18,146,28,4,2,19,719.4,0,55,0,20.56,6.9,126,0
2,118,37,3,4,7,715,0,93,0.22,17.31,3.2,321,0
23,35,29,3,1,18,714.8,0,80,0.062,24.83,9.5,78,0
15,68,17,7,2,20,715.6,0,50,0,33.12,13.7,105,0
20,62,14,7,7,13,719,0,85,0.09,17.31,3.6,17,0
20,139,24,9,3,11,729.4,0,69,0.401,13.55,3.1,91,0
8,112,32,4,7,18,722,0,87,0.006,9.89,7.4,113,0
64,62,33,14,4,13,716.3,0,28,0.705,33.6,7,352,0
36,84,14,11,5,17,718.1,0,42,0.086,21.15,13.8,108,0
7,23,9,5,5,3,724.4,0,96,0,3.85,5.2,346,0
53,61,20,8,2,12,718.2,0,41,0.934,33.27,10.6,69,0
16,39,13,3,3,11,724.6,0,81,0.158,7.82,6,345,0
46,86,38,7,4,15,715.1,0,54,0.457,18.03,12.5,106,0
28,63,25,10,6,19,715.5,0,46,0.009,33.14,11.2,129,0
19,61,5,24,4,21,718.5,0,89,0,20,6,109,0
20,46,12,19,3,21,720.7,0,71,0,26.11,4.5,129,0
48,75,14,15,2,14,724.8,0,30,0.324,20.77,9.6,121,0
65,61,10,4,6,13,717.7,0,57,0.852,30.59,7.4,41,0
29,67,6,2,6,10,732.7,0,65,0.194,6.81,10.4,118,0
28,40,17,11,7,5,720.3,0,93,0,16.64,6.1,71,0
23,40,6,23,6,19,722.4,0,67,0,25.28,6,45,0
4,27,21,9,4,21,725.4,0,94,0,5.67,5.5,356,0
30,57,13,20,6,16,729.8,0,60,0.064,8.77,8.2,135,0
9,39,19,24,7,2,724.6,0,87,0,11.07,4,158,0
50,88,26,23,5,12,718.6,0,64,0.870999992,29.29,8.9,104,0
3,110,37,15,5,2,717.2,0,77,0,8.98,1.3,99,0
32,85,9,1,3,15,717.9,0,62,0.515,28.94,18.7,110,0
14,42,6,0,1,6,720.4,0,88,0.089,22.08,3.4,36,0
13,77,34,11,7,23,717.3,0,71,0,28.53,10.8,72,0
3,57,28,23,3,6,721,0,92,0.015,23.59,2.7,41,0
72,126,37,15,1,15,719.6,0,40,0.577,29.54,15.4,107,0
3,70,24,2,6,19,720.5,0,79,0.04,15.05,2.5,24,0
25,59,17,7,6,16,724.6,0,58,0.225,13.02,12.8,355,0
5,57,22,5,4,6,717.2,0,61,0,13.29,5,303,0
9,39,6,13,7,1,725.2,0,87,0,10.93,3.5,128,0
15,37,21,12,5,4,723.1,0,82,0.508,9.81,18.9,352,0
14,31,5,9,6,6,720.3,0,92,0.002,19.61,7.3,301,0
30,91,26,4,4,10,719.9,0,80,0.394,21.25,6.2,106,0
18,32,8,15,2,23,721.2,0,75,0,26.58,6.5,89,0
8,44,30,16,7,13,719.6,0,90,0.133,8.62,5.9,356,0
2,140,31,6,3,23,714.6,0,93,0.212,16.77,1.9,351,0
41,39,13,10,1,13,726.7,0,31,0.371,19.18,3.3,3,0
35,58,7,37,7,1,720,0,73,0,23.76,9.2,65,0
8,52,39,9,7,12,720.2,0,91,0.13,8.32,5.7,349,0
54,71,24,12,5,12,716.1,0,66,0.781,28.75,9.3,94,0
12,34,10,1,1,3,717.4,0,81,0,25.12,7.1,80,0
62,81,27,12,4,11,714.7,0,50,0.777,33.19,5.3,66,0
10,58,20,28,3,17,719.7,0,91,0.012,4.94,8.6,106,0
16,44,35,13,7,4,723.3,0,95,0.001,19.89,5.3,22,0
12,84,36,5,1,21,716.6,0,84,0,22.49,9.9,98,0
16,170,30,18,3,20,723.6,0,40,0,20.76,5.5,110,0
24,115,16,3,4,9,721.8,0,64,0.458,29.32,3.6,29,0
49,67,5,13,7,12,719.4,0,46,0.783,32.41,7.9,102,0
9,55,13,16,7,11,721,0,90,0.156,20.52,8.6,344,0
8,30,18,5,7,17,725.5,0,94,0.009,4.27,5.1,12,0
27,41,12,7,6,10,720.6,0,63,0.525,28.29,2.2,179,0
54,119,34,11,2,13,717.7,0,66,0.702,27.27,7.8,107,0
16,30,10,5,7,1,715.9,0,91,0.011,20.87,4.9,7,0
46,58,15,8,2,9,714,0,28,0.441,24.63,13.2,327,0
12,86,20,9,5,23,718.6,0,86,0,20.82,10.1,111,0
30,97,16,26,5,10,720.5,0,71,0.707000017,25.92,6.6,106,0
24,43,17,12,6,23,730,0,61,0,7.91,6.7,79,0
5,78,34,21,4,5,717.6,0,81,0,15.71,2.5,292,0
22,85,24,27,3,19,715.2,0,48,0.012,32.79,9.4,104,0
40,126,16,8,3,16,714,0,72,0.325,22.09,8.2,98,0
7,104,28,2,1,10,723.7,0,51,0.087,13.9,0.9,169,0
30,169,26,29,4,20,716.5,0,81,0,21.73,6.4,111,0
6,98,26,5,3,5,719.1,0,89,0.03,22.64,4.6,71,0
15,121,23,22,4,21,718,0,77,0,18.14,4.8,4,0
19,91,33,7,7,22,717.9,0,66,0,28.6,13.5,92,0
10,51,17,11,7,6,728.2,0,69,0,5.98,4.9,95,0
12,78,28,17,5,23,719.2,0,83,0,23.75,10.8,91,0
28,71,15,6,1,10,721.6,0,77,0.551,23.61,2.4,356,0
13,76,35,15,4,10,719.5,0,67,0.517,12.64,5,322,0
47,103,7,0,3,14,718.5,0,42,0.583,24.47,13.2,111,0
8,53,40,22,3,2,718.1,0,80,0,25.39,6.6,60,0
8,115,37,8,4,10,718.3,0,95,0.067,20.24,3,34,0
3,105,40,20,2,5,721.3,0,92,0.104,17.57,0.9,260,0
4,8,5,7,6,6,721.3,0,96,0.011,4.41,3.3,1,0
25,57,18,11,2,23,719.5,0,44,0,20.81,6.1,123,0
44,75,21,0,2,10,719,0,52,0.708,31.81,4.6,37,0
37,75,31,4,3,17,715.8,0,38,0.238,35.78,11.9,120,0
51,110,7,27,2,12,718.1,0,69,0.655,26.2,6.6,110,0
4,127,15,17,3,19,724.9,0,84,0,8.54,6.5,121,0
16,44,10,3,7,6,719.9,0,94,0,14.54,5.5,86,0
4,49,17,8,3,4,720.5,0,90,0,23.89,3.5,63,0
74,110,28,49,5,14,715.1,0,54,0.597,31.97,9.6,101,0
13,157,40,19,3,9,719.5,0,51,0.438,24.16,2.8,97,0
51,52,26,5,4,16,719.3,0,36,0.307,32.74,12.1,75,0
4,80,16,18,4,3,718,0,77,0,16.31,3.7,321,0
65,57,23,7,2,17,712.1,0,31,0.266,28.53,11.8,106,0
33,44,12,7,7,6,716.4,0,87,0,20.68,5.9,87,0
5,32,14,1,7,21,725.8,0,94,0,3.75,4.7,337,0
27,72,26,4,1,17,715.5,0,70,0.156,25.14,11.3,102,0
4,116,35,12,6,9,721.8,0,87,0.074,15.25,2.6,269,0
16,82,30,3,4,1,717.3,0,84,0,20.7,8.1,112,0
9,135,29,26,7,8,716.1,0,75,0.106,23.58,6.8,338,0
13,39,8,11,6,22,727.3,0,65,0,8.61,4.6,302,0
8,74,29,9,7,16,718.7,0.13,85,0.044,16.26,1.9,292,0
19,67,30,2,1,18,715.6,0,73,0.04,24.6,7,91,0
11,151,30,26,5,9,717.1,0,49,0.41,25.48,4.7,360,0
10,99,23,3,2,21,730.4,0,76,0,9.29,8.7,111,0
32,70,21,6,3,12,719,0,64,0.748,28.79,11.4,90,0
15,55,11,9,4,19,718.9,0,71,0,25.89,7.4,132,0
7,49,8,3,1,22,722,0,83,0,17.49,5.8,351,0
31,91,14,3,4,16,715.3,0,70,0.299,26.4,10.4,122,0
19,59,12,23,3,18,719.5,0,80,0.042,24.03,11.8,98,0
7,80,20,9,6,3,716.8,0,81,0,24.67,5.4,77,0
22,55,12,19,4,2,717.9,0,91,0,18.11,5.2,97,0
23,54,17,1,7,18,720.1,0,41,0.082000002,32.77,15.1,124,0
33,101,22,17,2,13,718.2,0,54,0.879999995,32.25,11.5,100,0
14,98,39,29,3,1,718.5,0,88,0.001,21.91,4.1,15,0
35,44,18,0,3,15,719.1,0,47,0.64,34.01,11.2,72,0
8,87,20,5,6,7,719.3,0,91,0.006,12.36,4.2,305,0
34,67,10,8,3,14,720.4,0,73,0.369,25.12,12,104,0
60,62,15,2,2,15,715.7,0,37,0.692,35.55,10.8,110,0
23,25,7,3,5,3,718.2,0,89,0,21.84,7.8,90,0
16,42,15,2,7,2,715.5,0,93,0.027,20.65,4.4,15,0
64,121,28,3,2,11,716.7,0,40,0.709,34.15,4.2,59,0
20,34,26,26,4,0,717.2,0,94,0,19.12,6.9,95,0
24,63,25,0,3,23,714.5,0,58,0,28.08,7.1,77,0
23,112,26,17,3,23,718.9,0,83,0,19.94,11.2,113,0
26,57,27,18,7,4,719.8,0,84,0,21.71,3.1,57,0
29,27,12,1,3,11,722,0,72,0.28,21.77,8.7,355,0
46,46,17,12,1,17,715.7,0,30,0.334,34.99,11.1,68,0
19,30,10,17,2,3,718.2,0,81,0,22.99,3.7,341,0
22,20,18,12,3,4,720.8,0,81,0,7.82,6.8,336,0
6,94,31,19,5,7,720,0,89,0.115999997,22.16,4.9,55,0
29,63,14,11,4,10,717.8,0,69,0.73299998,28.4,4.5,65,0
9,43,8,3,1,7,719.4,0,84,0.073,24.32,4.2,280,0
12,113,12,8,6,9,718.5,0,88,0.258,24.35,4.6,18,0
19,30,19,7,1,20,717.4,0,80,0,23.18,8.8,105,0
61,77,11,8,4,15,714.8,0,69,0.427,28.37,6.1,63,0
2,116,33,26,5,2,723.4,0,93,0.012,11.61,1.1,351,0
11,72,24,5,6,18,715,0,81,0.006,26.22,7.6,107,0
23,84,33,25,1,13,719.6,0,81,0.292,19.09,5.3,110,0
26,92,33,14,5,14,715.8,0,74,0.587,28.76,13.9,92,0
15,20,18,10,2,19,717.3,0.04,96,0.042,21.5,10.8,107,0
8,67,28,4,7,7,728.3,0,73,0.037,6.49,5.9,119,0
26,29,27,19,2,20,726.2,0,81,0,5.99,5.9,113,0
21,42,28,18,1,10,719.9,0,93,0.304,17.59,7.8,113,0
30,40,8,0,1,2,718.1,0,87,0,19.34,8.8,98,0
45,86,14,3,2,14,715.3,0,64,0.455,22.19,10.5,99,0
25,57,13,17,4,19,716.2,0,48,0.008,31.97,10.3,110,0
18,65,8,64,3,4,719.3,0,94,0,19.03,4.9,85,0
4,41,25,4,4,4,716.5,0,86,0,22.73,5.3,72,0
24,97,33,8,4,18,714.3,0,71,0.076,27.35,12.6,116,0
19,103,37,13,4,0,718.7,0,77,0,25.66,10.9,115,0
38,70,29,2,2,17,714.6,0,38,0.319999993,36.3,12.3,115,0
22,121,38,23,3,10,720.8,0,80,0.253,21.33,4.9,65,0
11,26,7,12,6,19,729.3,0,87,0,5.59,9,353,0
7,160,8,53,6,9,720.6,0,89,0.256,22.24,1.1,21,0
42,57,36,3,3,18,712.8,0,38,0.113,34.15,12.4,106,0
21,55,7,4,5,22,719.6,0,46,0,31.19,12,97,0
18,25,15,4,6,13,723.4,0.01,96,0.122,7.32,5.7,67,0
17,97,8,24,3,0,721.5,0,48,0,19.17,2.8,121,0
21,129,12,2,7,7,723.3,0.06,95,0.004,17.8,14,360,0
41,153,16,25,4,14,716.5,0,79,0.52,24.41,5.7,121,0
19,36,20,9,2,16,717.9,0.04,91,0.046,16.33,3.4,21,0
15,80,14,4,2,10,718.5,0,88,0.058,20.4,11.2,359,0
52,52,27,11,2,16,715.7,0,36,0.347,34.52,10.4,80,0
20,102,11,34,7,18,720,0,60,0.005,20.52,8.9,104,0
40,62,24,14,7,20,715,0,56,0,27.93,13.5,106,0
12,39,8,1,2,19,721.8,0,87,0,17.54,8.1,107,0
40,31,11,2,6,3,720.1,0,78,0,23.57,7.4,79,0
6,193,40,21,4,20,715.5,0,77,0,21.85,3.3,23,0
13,32,15,9,4,1,719.5,0,89,0.001,21.65,8.7,83,0
30,56,30,14,3,15,716.4,0,70,0.537,29.07,12.9,127,0
23,27,9,1,4,5,722.9,0,60,0,14.76,7,342,0
29,77,20,1,5,16,714.7,0,71,0.353,29.83,12.2,104,0
24,86,9,4,5,10,722.2,0,74,0.606,26.29,8.5,101,0
53,69,6,19,2,12,717,0,48,0.9,33.2,9.5,69,0
34,78,9,45,1,15,715.9,0,12,0.5,31.62,13.3,339,0
27,61,27,5,1,23,717.2,0,70,0,27.29,10.6,80,0
23,37,25,11,5,1,718.7,0,89,0,22.46,12.4,101,0
10,82,30,8,1,22,725.5,0,49,0,15.01,4.4,134,0
49,50,18,8,7,13,718.7,0,44,0.877,33.55,8.3,118,0
31,91,8,21,3,16,717.7,0,61,0.437,28.78,17.7,116,0
12,29,6,4,3,6,721.7,0,84,0,7.41,6.4,343,0
29,89,6,74,4,15,716.1,0,74,0.375,23.23,9,89,0
6,53,6,1,6,5,719.4,0,72,0,25.22,1.6,348,0
13,104,20,15,1,12,718,0,68,0.124,21.39,3.6,284,0
41,134,13,27,4,16,719.2,0,54,0.269,22.46,9.4,112,0
13,29,9,2,3,5,718.1,0,89,0,16.01,6.4,355,0
27,57,20,3,5,15,718.4,0,76,0.384,26.9,7.2,90,0
16,32,12,0,7,18,723.1,0.02,96,0.004,13.97,7.4,347,0
5,57,24,10,3,5,719.1,0,84,0,24.53,4.3,52,0
47,46,12,31,1,13,719,0,62,0.869000018,30.5,8.5,86,0
57,114,20,4,4,15,721.5,0,39,0.32,24.27,12.3,116,0
30,127,29,4,4,17,716.8,0,45,0.160999998,31.57,17,122,0
22,40,8,13,7,0,721.8,0,95,0,15.37,13.8,104,0
43,87,24,9,4,12,718,0,46,0.648,23.17,6.6,63,0
33,119,11,45,3,10,719.7,0,56,0.589,23.82,5.2,352,0
10,90,30,7,1,21,719.5,0,70,0.001,27.14,9.5,100,0
29,60,23,10,4,18,716,0,48,0.083999999,32.61,12.6,113,0
6,73,24,14,6,8,725.8,0,88,0.013,6.39,2.1,294,0
9,46,8,2,6,11,728.7,0,90,0.116,10.87,5.8,124,0
9,63,38,28,6,9,718.7,0,90,0.141000003,22.7,4.5,68,0
7,74,34,18,7,7,715.1,0,92,0.133,22.46,4.7,277,0
11,70,26,20,5,3,716.9,0,93,0,16,5.1,357,0
30,61,15,3,2,22,719.5,0,43,0,21.3,7.5,93,0
3,63,23,14,5,1,717.4,0,72,0,9.99,2.7,6,0
3,80,30,9,5,4,722.9,0,95,0.013,10.92,2.1,335,0
21,49,13,8,3,0,718.2,0,89,0,17.37,7.6,115,0
37,50,11,5,5,18,713.5,0,56,0.001,26.54,10.1,106,0
67,162,36,14,4,15,712.8,0,67,0.326,25.75,10.4,106,0
15,118,18,6,5,8,718.7,0,91,0.205,21.55,4.3,304,0
23,41,13,14,1,9,729.5,0,40,0.099,15.38,4.7,315,0
11,110,13,1,3,19,718.1,0,41,0,22.52,8,114,0
24,58,36,21,1,19,717.5,0,55,0.001,30.12,13,81,0
68,82,34,13,3,16,715.4,0,40,0.18,29,8.2,103,0
5,77,26,3,3,0,716.2,0,55,0,21.25,5.3,335,0
43,66,20,27,1,16,716.7,0,39,0.489,35.37,15.3,84,0
6,69,31,9,3,6,719.5,0,90,0.067,22.61,8,112,0
9,79,29,12,7,6,717.5,0,86,0.023,24.88,5.4,47,0
3,68,18,9,4,6,714.5,0,85,0.052,23.18,3.6,41,0
53,72,28,12,3,14,716,0,49,0.825999975,32.81,11.4,100,0
31,68,19,12,7,13,714.1,0,56,0.761,31.75,9,27,0
8,50,6,17,1,0,720.3,0,95,0.038,18.12,5.7,111,0
24,70,10,7,1,8,718.2,0,68,0.253,28.71,3.9,318,0
5,50,14,4,2,6,718.9,0,89,0.014,21.94,3.3,351,0
12,49,19,6,6,0,719.3,0,62,0,27.98,7.4,56,0
17,102,24,19,3,23,718.1,0,54,0.001,17.17,4.9,95,0
7,77,23,14,5,2,716.2,0,94,0.017,23.17,2.1,5,0
31,43,13,8,2,9,719,0,60,0.545,30.17,3.6,314,0
6,62,24,14,1,3,721,0,77,0.001,15.61,3.2,321,0
9,81,19,4,3,18,724.2,0,82,0.009,9.08,8.8,123,0
6,110,38,11,5,5,719.3,0,89,0,21.24,4.8,57,0
41,75,17,10,2,13,719.2,0,67,0.541,28.26,8.4,103,0
45,117,38,18,4,12,719.2,0,64,0.646000028,28.93,10.3,117,0
18,60,9,14,1,1,715,0,91,0.029,20.12,1.9,36,0
9,34,15,8,6,18,728.6,0,87,0,6.04,7.9,358,0
39,111,35,22,3,17,717.6,0,37,0.032,24.93,13.8,109,0
12,135,25,3,2,21,717.3,0,80,0,18.71,7.2,97,0
9,108,21,13,4,1,720.1,0,88,0,18.67,6.1,100,0
31,44,20,7,3,10,716.9,0,66,0.706,29.46,4.1,32,0
25,63,32,6,4,17,717.6,0,64,0.033,27.8,7.8,125,0
10,62,36,1,5,17,720.6,0,93,0.014,6.82,4.4,81,0
47,108,29,18,7,16,720.2,0,39,0.39,27.29,13.7,115,0
3,131,32,8,6,7,720.6,0,81,0.011,14.96,1.6,265,0
47,73,29,18,5,17,713.5,0,50,0.029,27.45,10,111,0
22,135,12,1,3,9,720,0,59,0.436,21.54,6.3,314,0
56,55,12,2,6,13,719.1,0,34,0.588,35.56,7.8,74,0
18,116,40,2,1,19,719.4,0,71,0,23.18,6,99,0
29,52,7,25,4,16,717.1,0,55,0.216,29.68,11.7,119,0
35,23,8,0,6,4,723.1,0.02,95,0.006,8.17,11.7,103,0
37,222,9,31,5,21,722.2,0,59,0,15.39,21.2,116,0
30,207,25,12,7,18,719.9,0,78,0.047,21.55,20.8,358,0
33,153,37,23,6,13,720,0,80,0.237,23.12,8.8,112,0
7,129,33,6,3,20,716.5,0,55,0,25,4.9,88,0
18,68,10,35,4,23,720.9,0,69,0,24.91,10.5,76,0
40,44,6,29,4,14,720.7,0,45,0.79,33.22,11.6,81,0
18,104,8,12,2,9,722.2,0,75,0.463,21.76,6.1,340,0
52,34,9,4,4,12,721.3,0,41,0.809,21.35,9,7,0
50,56,27,2,3,11,716.5,0,59,0.817,30.75,5.4,13,0
6,49,17,6,2,3,726,0,43,0,13.93,0.9,295,0
62,48,7,2,5,13,719.6,0,39,0.793,24,9.3,99,0
13,50,35,22,7,8,715.6,0,82,0.186,24.74,4.9,316,0
12,58,34,7,1,23,719.5,0,79,0.003,25.58,10,96,0
32,72,26,1,3,20,713.2,0,43,0,32.13,8.9,113,0
16,93,30,1,5,23,717.9,0,78,0,26.86,13.3,105,0
45,58,25,12,1,14,718,0,48,0.791,33.66,12,94,0
12,76,16,7,4,0,717,0,78,0,26.4,8.9,85,0
6,103,39,7,2,21,716.4,0,44,0,30.93,8.3,97,0
28,103,22,16,4,13,716.9,0,76,0.501,22.92,9.4,86,0
40,108,21,74,5,10,717.2,0,73,0.619,28.64,4.8,107,0
51,203,11,19,2,15,718.6,0,35,0.41,27.66,4.4,124,0
35,73,22,8,2,13,731.5,0,64,0.451,12.89,6.3,97,0
36,62,33,16,4,11,720.2,0,67,0.737,25.23,15.4,91,0
24,21,8,10,7,12,721.1,0,82,0.235,20.29,3.6,68,0
10,105,28,6,3,8,717.7,0,84,0.173999995,24.73,4.3,358,0
17,97,35,27,3,0,720.7,0,75,0.001,18.74,4.2,47,0
16,78,37,20,2,23,719,0.01,92,0.001,24.01,14.3,108,0
10,33,17,5,7,7,717.7,0,85,0.071,25.29,4.6,57,0
15,53,18,1,7,23,719.6,0,73,0,26.33,9.6,123,0
44,45,39,22,4,15,717.2,0,64,0.396,28.49,8,95,0
71,105,34,3,6,15,718,0,59,0.632,31.71,10.8,111,0
19,102,24,1,2,8,717.7,0,79,0.163,22.43,6.3,321,0
45,46,12,20,7,18,717.8,0,32,0.077,32.86,9.9,79,0
11,126,16,0,6,9,720,0,89,0.164,23.55,9,101,0
53,110,32,13,6,10,720.2,0,55,0.742,29.46,4.3,14,0
20,17,13,3,6,0,723.7,0,89,0,7,9.8,349,0
16,131,12,16,4,21,719.6,0,59,0,30,16,104,0
52,68,37,5,3,12,718.4,0,63,0.484,25.21,5.6,112,0
23,89,28,8,3,17,716.8,0,52,0.142000005,31.68,12.7,111,0
10,84,26,3,4,3,717.9,0,83,0,24.93,5.7,60,0
6,161,40,6,5,0,722.2,0,65,0.007,15.11,2.5,64,0
18,78,7,20,2,9,719.1,0,74,0.282999992,27.69,5.1,7,0
25,201,35,8,5,12,720.8,0,65,0.49,20.65,17.2,359,0
10,152,38,18,5,22,718.7,0,86,0,20.93,9.7,114,0
26,33,13,4,3,3,716.1,0.05,96,0.042,19.9,12.8,92,0
13,106,9,15,5,9,720.2,0,87,0.273,24.81,6.3,73,0
20,33,10,19,2,18,718.6,0,92,0.026,16.54,9.6,123,0
9,87,34,16,7,3,715.7,0,89,0,14.33,1.9,0,0
11,90,32,25,6,16,726.3,0,82,0.065,12.4,4.8,67,0
6,61,29,14,4,5,719.1,0,89,0.022,18.57,1.9,1,0
12,28,8,7,2,3,719,0,87,0.012,22.72,5.1,33,0
40,61,16,21,3,11,719.1,0,68,0.45,24.07,4.5,67,0
35,69,30,10,2,19,715.1,0,42,0.01,33.85,9.9,79,0
29,85,29,7,3,21,717.3,0,39,0,31.85,13.2,117,0
9,101,21,13,6,8,716.3,0,90,0.177,23.93,2.9,317,0
16,93,21,5,4,19,724.6,0,56,0,15.72,10.3,102,0
35,66,17,24,4,14,715.4,0,65,0.686,28.35,10.3,112,0
20,33,30,3,5,3,719.9,0,63,0,16.16,4.6,13,0
10,64,23,2,5,18,727,0,87,0,4.43,5.3,130,0
40,122,13,12,1,11,717.2,0,63,0.765,31.18,7.9,63,0
10,68,17,12,1,20,732,0,65,0,12.14,4.9,340,0
37,137,36,21,4,14,719.6,0,58,0.575,21.7,8.7,116,0
32,76,30,1,7,0,716.7,0,60,0,25.41,9.6,86,0
33,61,13,2,5,21,719.6,0,62,0,20.3,8.5,118,0
6,56,25,17,1,21,721.4,0,83,0,17.78,3.7,307,0
31,65,14,3,7,17,725.4,0,57,0.042,13.24,9.8,95,0
24,52,36,4,4,9,720.7,0,83,0.302,21.7,6.9,99,0
9,36,27,13,2,5,718.5,0,89,0.001,22.17,4.8,20,0
6,25,14,3,2,9,725.8,0.01,96,0.064,10.18,5.6,3,0
40,43,32,0,3,14,717.2,0,60,0.412,26.57,9.5,102,0
24,49,15,5,6,0,719.5,0,64,0,19.88,4.1,121,0
3,55,39,32,4,6,721.4,0,87,0.013,23.61,3.4,346,0
7,124,27,17,3,6,717.8,0,85,0.032000002,24.23,5.8,69,0
9,101,37,9,1,21,725.7,0,33,0,16.18,1,274,0
33,79,22,6,3,16,714.8,0,44,0.433999985,34.43,13,120,0
8,80,24,16,2,2,721.4,0,88,0.028,18.84,2.1,17,0
49,93,30,10,2,18,712.6,0,33,0.084,27.02,12.5,101,0
16,129,27,21,2,9,717.4,0,54,0.45,30.84,2.6,126,0
6,72,30,1,6,16,718.1,0,91,0.02,6.61,3.7,55,0
16,87,32,12,2,19,718.1,0,67,0.011,26.64,9.5,80,0
21,102,25,3,4,23,719.3,0,58,0,26.26,13,109,0
31,127,30,10,5,15,716.5,0,71,0.377,23.96,11,99,0
46,57,7,5,1,14,719.1,0,41,0.652,29.15,6.6,36,0
18,96,8,6,4,20,717.8,0,47,0,29.28,13.1,116,0
8,71,25,20,1,22,732.4,0,73,0,10.39,5.4,266,0
26,62,36,12,4,11,720.2,0,73,0.282000005,26.05,8.2,107,0
8,61,33,6,5,4,719.8,0,70,0,14.96,3.3,338,0
14,88,20,2,2,22,730.2,0,76,0,8.91,6.5,115,0
38,51,31,15,7,2,716.3,0,79,0,22.36,12.3,73,0
20,77,8,30,6,19,715.2,0,75,0,26.4,8.2,104,0
60,59,6,21,6,14,717.1,0,53,0.787,31.41,8.4,96,0
18,64,21,5,2,19,716,0,44,0.016000001,33.36,10.8,102,0
16,63,7,4,2,23,718.2,0,64,0,28.41,13.3,82,0
41,82,32,9,7,16,713.4,0,58,0.433,32.27,15.5,114,0
23,51,8,14,6,11,719.4,0,80,0.578,25.62,12,96,0
49,105,35,11,4,12,723,0,37,0.54,24.17,4,85,0
4,108,29,22,7,19,724,0,90,0,14.94,3.8,10,0
26,62,24,15,4,11,720.5,0,79,0.3,24.3,10.7,106,0
20,44,32,23,7,2,720.5,0,95,0,14.86,11.3,97,0
5,27,19,4,4,11,726.2,0,95,0.069,5.73,4,353,0
49,42,26,10,1,16,717.3,0,45,0.335,31.82,8.5,91,0
17,67,23,1,6,4,719.6,0,84,0,21.64,5.9,76,0
6,260,35,25,6,8,728.4,0,88,0.1,7.46,1.7,307,0
12,37,9,3,5,19,727.5,0,92,0.001,10.45,10.3,120,0
43,112,30,11,7,11,715.1,0,65,0.756,29.51,10.9,105,0
9,114,26,13,4,8,717.6,0,92,0.203,19.1,6.9,314,0
25,63,31,8,1,18,730.8,0,57,0.001,13.74,5.7,41,0
19,49,21,14,1,9,720,0,80,0.202000007,25.53,4.4,39,0
